t,fix,sats,hdop,lat,lon,alt_m,speed_kmh,course
1787988750.86,0,00,99.99,,,,0.0,0.0
1787988751.87,0,00,99.99,,,,0.0,0.0
1787988752.86,0,00,99.99,,,,0.0,0.0
1787988753.86,0,00,99.99,,,,0.0,0.0
1787988754.86,0,00,99.99,,,,0.0,0.0
1787988755.86,0,00,99.99,,,,0.0,0.0
1787988756.86,0,00,99.99,,,,0.0,0.0
1787988757.86,0,00,99.99,,,,0.0,0.0
1787988758.86,0,00,99.99,,,,0.0,0.0
1787988759.86,0,00,99.99,,,,0.0,0.0
1787988760.87,0,00,99.99,,,,0.0,0.0
1787988761.87,0,00,99.99,,,,0.0,0.0
1787988762.87,0,00,99.99,,,,0.0,0.0
1787988763.87,0,00,99.99,,,,0.0,0.0
1787988764.86,0,00,99.99,,,,0.0,0.0
1787988765.87,0,00,99.99,,,,0.0,0.0
1787988766.86,0,00,99.99,,,,0.0,0.0
1787988767.87,0,00,99.99,,,,0.0,0.0
1787988768.87,0,00,99.99,,,,0.0,0.0
1787988769.87,0,00,99.99,,,,0.0,0.0
1787988770.87,0,00,99.99,,,,0.0,0.0
1787988771.87,0,00,99.99,,,,0.0,0.0
1787988772.87,0,00,99.99,,,,0.0,0.0
1787988773.87,0,00,99.99,,,,0.0,0.0
1787988774.87,0,00,99.99,,,,0.0,0.0
1787988775.87,0,00,99.99,,,,0.0,0.0
1787988776.87,0,00,99.99,,,,0.0,0.0
1787988777.87,0,00,99.99,,,,0.0,0.0
1787988778.87,0,00,99.99,,,,0.0,0.0
1787988779.87,0,00,99.99,,,,0.0,0.0
1787988780.87,0,00,99.99,,,,0.0,0.0
1787988781.87,0,00,99.99,,,,0.0,0.0
1787988782.87,0,00,99.99,,,,0.0,0.0
1787988783.87,0,00,99.99,,,,0.0,0.0
1787988784.87,0,00,99.99,,,,0.0,0.0
1787988785.87,0,00,99.99,,,,0.0,0.0
1787988786.87,0,00,99.99,,,,0.0,0.0
1787988787.87,0,00,99.99,,,,0.0,0.0
1787988788.87,0,00,99.99,,,,0.0,0.0
1787988789.87,0,00,99.99,,,,0.0,0.0
1787988790.87,0,00,99.99,,,,0.0,0.0
1787988791.87,0,00,99.99,,,,0.0,0.0
1787988792.87,0,00,99.99,,,,0.0,0.0
1787988793.87,0,00,99.99,,,,0.0,0.0
1787988794.87,0,00,99.99,,,,0.0,0.0
1787988795.87,0,00,99.99,,,,0.0,0.0
1787988796.87,0,00,99.99,,,,0.0,0.0
1787988797.87,0,00,99.99,,,,0.0,0.0
1787988798.87,0,00,99.99,,,,0.0,0.0
1787988799.87,0,00,99.99,,,,0.0,0.0
1787988800.87,0,00,99.99,,,,0.0,0.0
1787988801.87,0,00,99.99,,,,0.0,0.0
1787988802.87,0,00,99.99,,,,0.0,0.0
1787988803.87,0,00,99.99,,,,0.0,0.0
1787988804.87,0,00,99.99,,,,0.0,0.0
1787988805.87,0,00,99.99,,,,0.0,0.0
1787988806.87,0,00,99.99,,,,0.0,0.0
1787988807.87,0,00,99.99,,,,0.0,0.0
1787988808.87,0,00,99.99,,,,0.0,0.0
1787988809.87,0,00,99.99,,,,0.0,0.0
1787988810.87,0,00,99.99,,,,0.0,0.0
1787988811.87,0,00,99.99,,,,0.0,0.0
1787988812.87,0,00,99.99,,,,0.0,0.0
1787988813.87,0,00,99.99,,,,0.0,0.0
1787988814.87,0,00,99.99,,,,0.0,0.0
1787988815.87,0,00,99.99,,,,0.0,0.0
1787988816.87,0,00,99.99,,,,0.0,0.0
1787988817.87,0,00,99.99,,,,0.0,0.0
1787988818.87,0,00,99.99,,,,0.0,0.0
1787988819.87,0,00,99.99,,,,0.0,0.0
1787988820.87,0,00,99.99,,,,0.0,0.0
1787988821.87,0,00,99.99,,,,0.0,0.0
1787988822.87,0,00,99.99,,,,0.0,0.0
1787988823.87,0,00,99.99,,,,0.0,0.0
1787988824.86,0,00,99.99,,,,0.0,0.0
1787988825.87,0,00,99.99,,,,0.0,0.0
1787988826.87,0,00,99.99,,,,0.0,0.0
1787988827.87,0,00,99.99,,,,0.0,0.0
1787988828.87,0,00,99.99,,,,0.0,0.0
1787988829.87,0,00,99.99,,,,0.0,0.0
1787988830.87,0,00,99.99,,,,0.0,0.0
1787988831.87,0,00,99.99,,,,0.0,0.0
1787988832.87,0,00,99.99,,,,0.0,0.0
1787988833.87,0,00,99.99,,,,0.0,0.0
1787988834.87,0,00,99.99,,,,0.0,0.0
1787988835.87,0,00,99.99,,,,0.0,0.0
1787988836.87,0,00,99.99,,,,0.0,0.0
1787988837.87,0,00,99.99,,,,0.0,0.0
1787988838.87,0,00,99.99,,,,0.0,0.0
1787988839.87,0,00,99.99,,,,0.0,0.0
1787988840.87,0,00,99.99,,,,0.0,0.0
1787988841.87,0,00,99.99,,,,0.0,0.0
1787988842.87,0,00,99.99,,,,0.0,0.0
1787988843.87,0,00,99.99,,,,0.0,0.0
1787988844.87,0,00,99.99,,,,0.0,0.0
1787988845.87,0,00,99.99,,,,0.0,0.0
1787988846.87,0,00,99.99,,,,0.0,0.0
1787988847.87,0,00,99.99,,,,0.0,0.0
1787988848.87,0,00,99.99,,,,0.0,0.0
1787988849.87,0,00,99.99,,,,0.0,0.0
1787988850.87,0,00,99.99,,,,0.0,0.0
1787988851.87,0,00,99.99,,,,0.0,0.0
1787988852.87,0,00,99.99,,,,0.0,0.0
1787988853.87,0,00,99.99,,,,0.0,0.0
1787988854.87,0,00,99.99,,,,0.0,0.0
1787988855.87,0,00,99.99,,,,0.0,0.0
1787988856.87,0,00,99.99,,,,0.0,0.0
1788052791.11,0,00,99.99,,,,0.0,0.0
1788052792.11,0,00,99.99,,,,0.0,0.0
1788052793.12,0,00,99.99,,,,0.0,0.0
1788052794.12,0,00,99.99,,,,0.0,0.0
1788052795.12,0,00,99.99,,,,0.0,0.0
1788052796.12,0,00,99.99,,,,0.0,0.0
1788052797.11,0,00,99.99,,,,0.0,0.0
1788052798.12,0,00,99.99,,,,0.0,0.0
1788052799.12,0,00,99.99,,,,0.0,0.0
1788052800.12,0,00,99.99,,,,0.0,0.0
1788052801.12,0,00,99.99,,,,0.0,0.0
1788052802.11,0,00,99.99,,,,0.0,0.0
1788052803.12,0,00,99.99,,,,0.0,0.0
1788052804.12,0,00,99.99,,,,0.0,0.0
1788052805.12,0,00,99.99,,,,0.0,0.0
1788052806.12,0,00,99.99,,,,0.0,0.0
1788052807.12,0,00,99.99,,,,0.0,0.0
1788052808.12,0,00,99.99,,,,0.0,0.0
1788052809.12,0,00,99.99,,,,0.0,0.0
1788052810.11,0,00,99.99,,,,0.0,0.0
1788052811.12,0,00,99.99,,,,0.0,0.0
1788052812.12,0,00,99.99,,,,0.0,0.0
1788052813.12,0,00,99.99,,,,0.0,0.0
1788052814.11,0,00,99.99,,,,0.0,0.0
1788052815.11,0,00,99.99,,,,0.0,0.0
1788052816.11,0,00,99.99,,,,0.0,0.0
1788052817.12,0,00,99.99,,,,0.0,0.0
1788052818.11,0,00,99.99,,,,0.0,0.0
1788052819.11,0,00,99.99,,,,0.0,0.0
1788052820.11,0,00,99.99,,,,0.0,0.0
1788052821.11,0,00,99.99,,,,0.0,0.0
1788052822.11,0,00,99.99,,,,0.0,0.0
1788052823.12,0,00,99.99,,,,0.0,0.0
1788052824.11,0,00,99.99,,,,0.0,0.0
1788052825.12,0,00,99.99,,,,0.0,0.0
1788052826.12,0,00,99.99,,,,0.0,0.0
1788052827.11,0,00,99.99,,,,0.0,0.0
1788052828.12,0,00,99.99,,,,0.0,0.0
1788052829.12,0,00,99.99,,,,0.0,0.0
1788052830.12,0,00,99.99,,,,0.0,0.0
1788052831.12,0,00,99.99,,,,0.0,0.0
1788052832.12,0,00,99.99,,,,0.0,0.0
1788052833.12,0,00,99.99,,,,0.0,0.0
1788052834.12,0,00,99.99,,,,0.0,0.0
1788052835.12,0,00,99.99,,,,0.0,0.0
1788052836.12,0,00,99.99,,,,0.0,0.0
1788052837.13,0,00,99.99,,,,0.0,0.0
1788052838.12,0,00,99.99,,,,0.0,0.0
1788052839.12,0,00,99.99,,,,0.0,0.0
1788052840.12,0,00,99.99,,,,0.0,0.0
1788052841.12,0,00,99.99,,,,0.0,0.0
1788052842.12,0,00,99.99,,,,0.0,0.0
1788052843.12,0,00,99.99,,,,0.0,0.0
1788052844.12,0,00,99.99,,,,0.0,0.0
1788052845.12,0,00,99.99,,,,0.0,0.0
1788052846.12,0,00,99.99,,,,0.0,0.0
1788052847.12,0,00,99.99,,,,0.0,0.0
1788052848.12,0,00,99.99,,,,0.0,0.0
1788052849.12,0,00,99.99,,,,0.0,0.0
1788052850.12,0,00,99.99,,,,0.0,0.0
1788052851.12,0,00,99.99,,,,0.0,0.0
1788052852.12,0,00,99.99,,,,0.0,0.0
1788052853.12,0,00,99.99,,,,0.0,0.0
1788052854.12,0,00,99.99,,,,0.0,0.0
1788052855.12,0,00,99.99,,,,0.0,0.0
1788052856.12,0,00,99.99,,,,0.0,0.0
1788052857.12,0,00,99.99,,,,0.0,0.0
1788052858.12,0,00,99.99,,,,0.0,0.0
1788052859.12,0,00,99.99,,,,0.0,0.0
1788052860.12,0,00,99.99,,,,0.0,0.0
1788052861.12,0,00,99.99,,,,0.0,0.0
1788052862.12,0,00,99.99,,,,0.0,0.0
1788052863.12,0,00,99.99,,,,0.0,0.0
1788052864.12,0,00,99.99,,,,0.0,0.0
1788052865.12,0,00,99.99,,,,0.0,0.0
1788052866.12,0,00,99.99,,,,0.0,0.0
1788052867.12,0,00,99.99,,,,0.0,0.0
1788052868.13,0,00,99.99,,,,0.0,0.0
1788052869.12,0,00,99.99,,,,0.0,0.0
1788052870.12,0,00,99.99,,,,0.0,0.0
1788052871.12,0,00,99.99,,,,0.0,0.0
1788052872.12,0,00,99.99,,,,0.0,0.0
1788052873.12,0,00,99.99,,,,0.0,0.0
1788052874.12,0,00,99.99,,,,0.0,0.0
1788052875.12,0,00,99.99,,,,0.0,0.0
1788052876.12,0,00,99.99,,,,0.0,0.0
1788052877.12,0,00,99.99,,,,0.0,0.0
1788052878.12,0,00,99.99,,,,0.0,0.0
1788052879.12,0,00,99.99,,,,0.0,0.0
1788052880.12,0,00,99.99,,,,0.0,0.0
1788052881.12,0,00,99.99,,,,0.0,0.0
1788052882.12,0,00,99.99,,,,0.0,0.0
1788052883.12,0,00,99.99,,,,0.0,0.0
1788052884.12,0,00,99.99,,,,0.0,0.0
1788052885.12,0,00,99.99,,,,0.0,0.0
1788052886.12,0,00,99.99,,,,0.0,0.0
1788052887.12,0,00,99.99,,,,0.0,0.0
1788052888.12,0,00,99.99,,,,0.0,0.0
1788052889.12,0,00,99.99,,,,0.0,0.0
1788052890.12,0,00,99.99,,,,0.0,0.0
1788052891.12,0,00,99.99,,,,0.0,0.0
1788052892.12,0,00,99.99,,,,0.0,0.0
1788052893.12,0,00,99.99,,,,0.0,0.0
1788052894.12,0,00,99.99,,,,0.0,0.0
1788052895.12,0,00,99.99,,,,0.0,0.0
1788052896.12,0,00,99.99,,,,0.0,0.0
1788052897.12,0,00,99.99,,,,0.0,0.0
1788052898.12,0,00,99.99,,,,0.0,0.0
1788052899.12,0,00,99.99,,,,0.0,0.0
1788052900.12,0,00,99.99,,,,0.0,0.0
1788052901.12,0,00,99.99,,,,0.0,0.0
1788052902.12,0,00,99.99,,,,0.0,0.0
1788052903.12,0,00,99.99,,,,0.0,0.0
1788052904.12,0,00,99.99,,,,0.0,0.0
1788052905.12,0,00,99.99,,,,0.0,0.0
1788052906.12,0,00,99.99,,,,0.0,0.0
1788052907.12,0,00,99.99,,,,0.0,0.0
1788052908.12,0,00,99.99,,,,0.0,0.0
1788052909.12,0,00,99.99,,,,0.0,0.0
1788052910.12,0,00,99.99,,,,0.0,0.0
1788052911.12,0,00,99.99,,,,0.0,0.0
1788052912.12,0,00,99.99,,,,0.0,0.0
1788052913.12,0,00,99.99,,,,0.0,0.0
1788052914.12,0,00,99.99,,,,0.0,0.0
1788052915.12,0,00,99.99,,,,0.0,0.0
1788052916.12,0,00,99.99,,,,0.0,0.0
1788052917.12,0,00,99.99,,,,0.0,0.0
1788052918.12,0,00,99.99,,,,0.0,0.0
1788052919.12,0,00,99.99,,,,0.0,0.0
1788052920.12,0,00,99.99,,,,0.0,0.0
1788052921.12,0,00,99.99,,,,0.0,0.0
1788052922.12,0,00,99.99,,,,0.0,0.0
1788052923.12,0,00,99.99,,,,0.0,0.0
1788052924.12,0,00,99.99,,,,0.0,0.0
1788052925.12,0,00,99.99,,,,0.0,0.0
1788052926.12,0,00,99.99,,,,0.0,0.0
1788052927.12,0,00,99.99,,,,0.0,0.0
1788052928.12,0,00,99.99,,,,0.0,0.0
1788052929.12,0,00,99.99,,,,0.0,0.0
1788052930.12,0,00,99.99,,,,0.0,0.0
1788052931.12,0,00,99.99,,,,0.0,0.0
1788052932.12,0,00,99.99,,,,0.0,0.0
1788052933.12,0,00,99.99,,,,0.0,0.0
1788052934.12,0,00,99.99,,,,0.0,0.0
1788052935.12,0,00,99.99,,,,0.0,0.0
1788052936.12,0,00,99.99,,,,0.0,0.0
1788052937.12,0,00,99.99,,,,0.0,0.0
1788052938.12,0,00,99.99,,,,0.0,0.0
1788052939.12,0,00,99.99,,,,0.0,0.0
1788052940.12,0,00,99.99,,,,0.0,0.0
1788052941.12,0,00,99.99,,,,0.0,0.0
1788052942.12,0,00,99.99,,,,0.0,0.0
1788052943.12,0,00,99.99,,,,0.0,0.0
1788052944.12,0,00,99.99,,,,0.0,0.0
1788052945.12,0,00,99.99,,,,0.0,0.0
1788052946.12,0,00,99.99,,,,0.0,0.0
1788052947.12,0,00,99.99,,,,0.0,0.0
1788052948.12,0,00,99.99,,,,0.0,0.0
1788052949.12,0,00,99.99,,,,0.0,0.0
1788052950.13,0,00,99.99,,,,0.0,0.0
1788052951.12,0,00,99.99,,,,0.0,0.0
1788052952.12,0,00,99.99,,,,0.0,0.0
1788052953.12,0,00,99.99,,,,0.0,0.0
1788052954.13,0,00,99.99,,,,0.0,0.0
1788052955.12,0,00,99.99,,,,0.0,0.0
1788052956.12,0,00,99.99,,,,0.0,0.0
1788052957.12,0,00,99.99,,,,0.0,0.0
1788052958.12,0,00,99.99,,,,0.0,0.0
1788052959.12,0,00,99.99,,,,0.0,0.0
1788052960.12,0,00,99.99,,,,0.0,0.0
1788052961.12,0,00,99.99,,,,0.0,0.0
1788052962.12,0,00,99.99,,,,0.0,0.0
1788052963.12,0,00,99.99,,,,0.0,0.0
1788052964.12,0,00,99.99,,,,0.0,0.0
1788052965.12,0,00,99.99,,,,0.0,0.0
1788052966.12,0,00,99.99,,,,0.0,0.0
1788052967.12,0,00,99.99,,,,0.0,0.0
1788052968.12,0,00,99.99,,,,0.0,0.0
1788052969.12,0,00,99.99,,,,0.0,0.0
1788052970.12,0,00,99.99,,,,0.0,0.0
1788052971.12,0,00,99.99,,,,0.0,0.0
1788052972.12,0,00,99.99,,,,0.0,0.0
1788052973.12,0,00,99.99,,,,0.0,0.0
1788052974.12,0,00,99.99,,,,0.0,0.0
1788052975.12,0,00,99.99,,,,0.0,0.0
1788052976.12,0,00,99.99,,,,0.0,0.0
1788052977.12,0,00,99.99,,,,0.0,0.0
1788052978.12,0,00,99.99,,,,0.0,0.0
1788052979.12,0,00,99.99,,,,0.0,0.0
1788052980.13,0,00,99.99,,,,0.0,0.0
1788052981.12,0,00,99.99,,,,0.0,0.0
1788052982.12,0,00,99.99,,,,0.0,0.0
1788052983.13,0,00,99.99,,,,0.0,0.0
1788052984.12,0,00,99.99,,,,0.0,0.0
1788052985.12,0,00,99.99,,,,0.0,0.0
1788052986.12,0,00,99.99,,,,0.0,0.0
1788052987.12,0,00,99.99,,,,0.0,0.0
1788052988.12,0,00,99.99,,,,0.0,0.0
1788052989.12,0,00,99.99,,,,0.0,0.0
1788052990.12,0,00,99.99,,,,0.0,0.0
1788052991.12,0,00,99.99,,,,0.0,0.0
1788052992.12,0,00,99.99,,,,0.0,0.0
1788052993.12,0,00,99.99,,,,0.0,0.0
1788052994.12,0,00,99.99,,,,0.0,0.0
1788052995.12,0,00,99.99,,,,0.0,0.0
1788052996.12,0,00,99.99,,,,0.0,0.0
1788052997.12,0,00,99.99,,,,0.0,0.0
1788052998.12,0,00,99.99,,,,0.0,0.0
1788052999.12,0,00,99.99,,,,0.0,0.0
1788053000.12,0,00,99.99,,,,0.0,0.0
1788053001.12,0,00,99.99,,,,0.0,0.0
1788053002.12,0,00,99.99,,,,0.0,0.0
1788053003.12,0,00,99.99,,,,0.0,0.0
1788053004.12,0,00,99.99,,,,0.0,0.0
1788053005.12,0,00,99.99,,,,0.0,0.0
1788053006.12,0,00,99.99,,,,0.0,0.0
1788053007.12,0,00,99.99,,,,0.0,0.0
1788053008.12,0,00,99.99,,,,0.0,0.0
1788053009.12,0,00,99.99,,,,0.0,0.0
1788053010.12,0,00,99.99,,,,0.0,0.0
1788053011.12,0,00,99.99,,,,0.0,0.0
1788053012.12,0,00,99.99,,,,0.0,0.0
1788053013.12,0,00,99.99,,,,0.0,0.0
1788053014.12,0,00,99.99,,,,0.0,0.0
1788053015.12,0,00,99.99,,,,0.0,0.0
1788053016.12,0,00,99.99,,,,0.0,0.0
1788053017.12,0,00,99.99,,,,0.0,0.0
1788053018.12,0,00,99.99,,,,0.0,0.0
1788053019.12,0,00,99.99,,,,0.0,0.0
1788053020.12,0,00,99.99,,,,0.0,0.0
1788053021.12,0,00,99.99,,,,0.0,0.0
1788053022.12,0,00,99.99,,,,0.0,0.0
1788053023.12,0,00,99.99,,,,0.0,0.0
1788053024.12,0,00,99.99,,,,0.0,0.0
1788053025.12,0,00,99.99,,,,0.0,0.0
1788053026.12,0,00,99.99,,,,0.0,0.0
1788053027.12,0,00,99.99,,,,0.0,0.0
1788053028.12,0,00,99.99,,,,0.0,0.0
1788053029.12,0,00,99.99,,,,0.0,0.0
1788053030.12,0,00,99.99,,,,0.0,0.0
1788053031.12,0,00,99.99,,,,0.0,0.0
1788053032.12,0,00,99.99,,,,0.0,0.0
1788053033.12,0,00,99.99,,,,0.0,0.0
1788053034.12,0,00,99.99,,,,0.0,0.0
1788053035.13,0,00,99.99,,,,0.0,0.0
1788053036.12,0,00,99.99,,,,0.0,0.0
1788053037.12,0,00,99.99,,,,0.0,0.0
1788053038.13,0,00,99.99,,,,0.0,0.0
1788053039.12,0,00,99.99,,,,0.0,0.0
1788053040.12,0,00,99.99,,,,0.0,0.0
1788053041.12,0,00,99.99,,,,0.0,0.0
1788053042.12,0,00,99.99,,,,0.0,0.0
1788053043.13,0,00,99.99,,,,0.0,0.0
1788053044.13,0,00,99.99,,,,0.0,0.0
1788053045.12,0,00,99.99,,,,0.0,0.0
1788053046.13,0,00,99.99,,,,0.0,0.0
1788053047.13,0,00,99.99,,,,0.0,0.0
1788053048.13,0,00,99.99,,,,0.0,0.0
1788053049.13,0,00,99.99,,,,0.0,0.0
1788053050.13,0,00,99.99,,,,0.0,0.0
1788053051.13,0,00,99.99,,,,0.0,0.0
1788053052.13,0,00,99.99,,,,0.0,0.0
1788053053.13,0,00,99.99,,,,0.0,0.0
1788053054.13,0,00,99.99,,,,0.0,0.0
1788053055.13,0,00,99.99,,,,0.0,0.0
1788053056.13,0,00,99.99,,,,0.0,0.0
1788053057.13,0,00,99.99,,,,0.0,0.0
1788053058.13,0,00,99.99,,,,0.0,0.0
1788053059.13,0,00,99.99,,,,0.0,0.0
1788053060.13,0,00,99.99,,,,0.0,0.0
1788053061.13,0,00,99.99,,,,0.0,0.0
1788053062.13,0,00,99.99,,,,0.0,0.0
1788053063.13,0,00,99.99,,,,0.0,0.0
1788053064.13,0,00,99.99,,,,0.0,0.0
1788053065.13,0,00,99.99,,,,0.0,0.0
1788053066.13,0,00,99.99,,,,0.0,0.0
1788053067.13,0,00,99.99,,,,0.0,0.0
1788053068.13,0,00,99.99,,,,0.0,0.0
1788053069.13,0,00,99.99,,,,0.0,0.0
1788053070.13,0,00,99.99,,,,0.0,0.0
1788053071.13,0,00,99.99,,,,0.0,0.0
1788053072.13,0,00,99.99,,,,0.0,0.0
1788053073.13,0,00,99.99,,,,0.0,0.0
1788053074.13,0,00,99.99,,,,0.0,0.0
1788053075.13,0,00,99.99,,,,0.0,0.0
1788053076.13,0,00,99.99,,,,0.0,0.0
1788053077.13,0,00,99.99,,,,0.0,0.0
1788053078.13,0,00,99.99,,,,0.0,0.0
1788053079.13,0,00,99.99,,,,0.0,0.0
1788053080.13,0,00,99.99,,,,0.0,0.0
1788053081.13,0,00,99.99,,,,0.0,0.0
1788053082.13,0,00,99.99,,,,0.0,0.0
1788053083.13,0,00,99.99,,,,0.0,0.0
1788053084.13,0,00,99.99,,,,0.0,0.0
1788053085.13,0,00,99.99,,,,0.0,0.0
1788053086.13,0,00,99.99,,,,0.0,0.0
1788053087.13,0,00,99.99,,,,0.0,0.0
1788053088.13,0,00,99.99,,,,0.0,0.0
1788053089.13,0,00,99.99,,,,0.0,0.0
1788053090.14,0,00,99.99,,,,0.0,0.0
1788053091.13,0,00,99.99,,,,0.0,0.0
1788053092.13,0,00,99.99,,,,0.0,0.0
1788053093.13,0,00,99.99,,,,0.0,0.0
1788053094.13,0,00,99.99,,,,0.0,0.0
1788053095.13,0,00,99.99,,,,0.0,0.0
1788053096.13,0,00,99.99,,,,0.0,0.0
1788053097.13,0,00,99.99,,,,0.0,0.0
1788053098.14,0,00,99.99,,,,0.0,0.0
1788053099.13,0,00,99.99,,,,0.0,0.0
1788053100.13,0,00,99.99,,,,0.0,0.0
1788053101.13,0,00,99.99,,,,0.0,0.0
1788053102.13,0,00,99.99,,,,0.0,0.0
1788053103.13,0,00,99.99,,,,0.0,0.0
1788053104.13,0,00,99.99,,,,0.0,0.0
1788053105.13,0,00,99.99,,,,0.0,0.0
1788053106.13,0,00,99.99,,,,0.0,0.0
1788053107.13,0,00,99.99,,,,0.0,0.0
1788053108.14,0,00,99.99,,,,0.0,0.0
1788053109.13,0,00,99.99,,,,0.0,0.0
1788053110.14,0,00,99.99,,,,0.0,0.0
1788053111.13,0,00,99.99,,,,0.0,0.0
1788053112.14,0,00,99.99,,,,0.0,0.0
1788053113.13,0,00,99.99,,,,0.0,0.0
1788053114.13,0,00,99.99,,,,0.0,0.0
1788053115.14,0,00,99.99,,,,0.0,0.0
1788053116.13,0,00,99.99,,,,0.0,0.0
1788053117.14,0,00,99.99,,,,0.0,0.0
1788053118.14,0,00,99.99,,,,0.0,0.0
1788053119.14,0,00,99.99,,,,0.0,0.0
1788053120.14,0,00,99.99,,,,0.0,0.0
1788053121.14,0,00,99.99,,,,0.0,0.0
1788053122.14,0,00,99.99,,,,0.0,0.0
1788053123.14,0,00,99.99,,,,0.0,0.0
1788053124.14,0,00,99.99,,,,0.0,0.0
1788053125.14,0,00,99.99,,,,0.0,0.0
1788053126.14,0,00,99.99,,,,0.0,0.0
1788053127.14,0,00,99.99,,,,0.0,0.0
1788053128.14,0,00,99.99,,,,0.0,0.0
1788053129.14,0,00,99.99,,,,0.0,0.0
1788053130.14,0,00,99.99,,,,0.0,0.0
1788053131.14,0,00,99.99,,,,0.0,0.0
1788053132.14,0,00,99.99,,,,0.0,0.0
1788053133.14,0,00,99.99,,,,0.0,0.0
1788053134.14,0,00,99.99,,,,0.0,0.0
1788053135.14,0,00,99.99,,,,0.0,0.0
1788053136.14,0,00,99.99,,,,0.0,0.0
1788053137.14,0,00,99.99,,,,0.0,0.0
1788053138.14,0,00,99.99,,,,0.0,0.0
1788053139.14,0,00,99.99,,,,0.0,0.0
1788053140.14,0,00,99.99,,,,0.0,0.0
1788053141.14,0,00,99.99,,,,0.0,0.0
1788053142.13,0,00,99.99,,,,0.0,0.0
1788053143.13,0,00,99.99,,,,0.0,0.0
1788053144.13,0,00,99.99,,,,0.0,0.0
1788053145.13,0,00,99.99,,,,0.0,0.0
1788053146.13,0,00,99.99,,,,0.0,0.0
1788053147.14,0,00,99.99,,,,0.0,0.0
1788053148.14,0,00,99.99,,,,0.0,0.0
1788053149.13,0,00,99.99,,,,0.0,0.0
1788053150.14,0,00,99.99,,,,0.0,0.0
1788053151.14,0,00,99.99,,,,0.0,0.0
1788053152.14,0,00,99.99,,,,0.0,0.0
1788053153.14,0,00,99.99,,,,0.0,0.0
1788053154.13,0,00,99.99,,,,0.0,0.0
1788053155.14,0,00,99.99,,,,0.0,0.0
1788053156.14,0,00,99.99,,,,0.0,0.0
1788053157.13,0,00,99.99,,,,0.0,0.0
1788053158.14,0,00,99.99,,,,0.0,0.0
1788053159.14,0,00,99.99,,,,0.0,0.0
1788053160.14,0,00,99.99,,,,0.0,0.0
1788053161.14,0,00,99.99,,,,0.0,0.0
1788053162.14,0,00,99.99,,,,0.0,0.0
1788053163.14,0,00,99.99,,,,0.0,0.0
1788053164.14,0,00,99.99,,,,0.0,0.0
1788053165.14,0,00,99.99,,,,0.0,0.0
1788053166.14,0,00,99.99,,,,0.0,0.0
1788053167.14,0,00,99.99,,,,0.0,0.0
1788053168.14,0,00,99.99,,,,0.0,0.0
1788053169.14,0,00,99.99,,,,0.0,0.0
1788053170.14,0,00,99.99,,,,0.0,0.0
1788053171.14,0,00,99.99,,,,0.0,0.0
1788053172.14,0,00,99.99,,,,0.0,0.0
1788053173.14,0,00,99.99,,,,0.0,0.0
1788053174.14,0,00,99.99,,,,0.0,0.0
1788053175.14,0,00,99.99,,,,0.0,0.0
1788053176.14,0,00,99.99,,,,0.0,0.0
